Overview
Filename,Sprout Count,Critical Value,Total Branch Count,Branching Factor,Auxiliary Branch Count
Column 1 Well 1 7-6-13,2.819548872180451,133.0,4.809722770011004,1.7058483424305695,1.990173897830553
Column 1 Well 1 7-6-13(10),1.345945945945946,185.0,1.8662386742001924,1.3865628703897013,0.5202927282542464
Column 1 Well 1 7-6-13(2),3.0303030303030303,132.0,4.112899825872283,1.3572569425378533,1.0825967955692528
Column 1 Well 1 7-6-13(3),3.4516129032258065,93.0,5.841104544247365,1.6922826249688627,2.3894916410215585
Column 1 Well 1 7-6-13(4),0.8347107438016529,121.0,1.9557436315037005,2.343019598138097,1.1210328877020475
Column 1 Well 1 7-6-13(5),2.890625,128.0,5.601102569096228,1.9376787266062627,2.710477569096228
Column 1 Well 1 7-6-13(6),1.1092436974789917,238.0,1.631568406706926,1.4708836393797287,0.5223247092279344
Column 1 Well 1 7-6-13(7),3.2975206611570247,121.0,6.8019180613309755,2.062737056193103,3.504397400173951
Column 1 Well 1 7-6-13(8),4.990909090909091,110.0,6.942857210310662,1.3911007160913895,1.951948119401571
Column 1 Well 1 7-6-13(9),1.8161764705882353,136.0,5.948687419986394,3.2753906442030347,4.132510949398158
Column 1 Well 2 7-6-13,3.7518248175182483,137.0,5.055921052651141,1.347589852554876,1.3040962351328926
Column 1 Well 2 7-6-13(10) ,3.138888888888889,108.0,3.8245610576260134,1.2184442307481105,0.6856721687371246
Column 1 Well 2 7-6-13(2),2.722972972972973,148.0,5.550232928502428,2.0382989414847628,2.8272599555294553
Column 1 Well 2 7-6-13(3),2.478021978021978,182.0,3.773043546135017,1.5226029387950624,1.295021568113039
Column 1 Well 2 7-6-13(4),3.876470588235294,170.0,6.210727969348785,1.6021604776772282,2.3342573811134906
Column 1 Well 2 7-6-13(5),3.309734513274336,113.0,5.130174714518365,1.55002605010849,1.8204402012440286
Column 1 Well 2 7-6-13(6),3.008888888888889,225.0,4.364919354843464,1.4506748225107526,1.3560304659545754
Column 1 Well 2 7-6-13(7),4.7555555555555555,135.0,6.226495731458648,1.3093098500730802,1.4709401759030927
Column 1 Well 2 7-6-13(8),3.427350427350427,117.0,4.372520693251345,1.2757728705995197,0.9451702659009178
Column 1 Well 2 7-6-13(9),3.037593984962406,133.0,6.216596839100737,2.0465529198029655,3.1790028541383313
Column 1 Well 3 7-6-13,0.0,0.0,0.0,0.0,0.0
Column 1 Well 3 7-6-13(2),0.0,0.0,0.0,0.0,0.0
Column 1 Well 3 7-6-13(3),0.0,73.0,0.0,0.0,0.0
Column 1 Well 3 7-6-13(5),0.0,128.0,0.0,0.0,0.0
Column 1 Well 4 7-6-13,0.0,0.0,0.0,0.0,0.0
Column 1 Well 4 7-6-13(2),0.007194244604316547,278.0,0.008926720063882442,1.2408140888796593,0.0017324754595658947
Column 1 Well 4 7-6-13(3),0.15476190476190477,420.0,1.571427207762575,10.153837342465868,1.4166653030006704
Column 1 Well 4 7-6-13(4),0.0,74.0,0.0,0.0,0.0
Column 1 Well 4 7-6-13(5),0.022172949002217297,451.0,0.03909245767477575,1.7630698411323864,0.016919508672558457
Column 2 Well 1 7-6-13,1.4508196721311475,122.0,2.2972027972028015,1.5833827189759424,0.846383125071654
Column 2 Well 1 7-6-13(10),3.2601626016260163,123.0,6.12576064908732,1.8789739646826444,2.865598047461304
Column 2 Well 1 7-6-13(2),3.591715976331361,169.0,7.21244541854874,2.0080778842417417,3.6207294422173795
Column 2 Well 1 7-6-13(3),3.373134328358209,134.0,5.916408669002817,1.7539795611645521,2.5432743406446083
Column 2 Well 1 7-6-13(4),1.373134328358209,134.0,2.4797979827277636,1.8059398352473932,1.1066636543695547
Column 2 Well 1 7-6-13(5),4.046153846153846,130.0,6.74349007897251,1.6666420347270463,2.697336232818664
Column 2 Well 1 7-6-13(6),1.2017543859649122,114.0,1.2544307357670548,1.0438328750178412,0.05267634980214253
Column 2 Well 1 7-6-13(7),0.4444444444444444,126.0,0.7365869693772678,1.6573206810988526,0.29214252493282333
Column 2 Well 1 7-6-13(8),2.727272727272727,110.0,3.840357598978394,1.4081311196254112,1.113084871705667
Column 2 Well 1 7-6-13(9),1.5846153846153845,195.0,2.7058823534029677,1.7075956599144944,1.1212669687875831
Column 2 Well 2 7-6-13,0.9576271186440678,118.0,1.3750000000217746,1.4358407079873399,0.4173728813777068
Column 2 Well 2 7-6-13(10),1.425,120.0,2.3312655086889995,1.6359757955712277,0.9062655086889995
Column 2 Well 2 7-6-13(2),0.6307692307692307,130.0,1.2698412726548778,2.013162993233343,0.639072041885647
Column 2 Well 2 7-6-13(3),1.8357142857142856,140.0,4.572549019904192,2.490882734578159,2.736834734189906
Column 2 Well 2 7-6-13(4),0.8705035971223022,139.0,2.0016543097365327,2.2994210665568433,1.1311507126142306
Column 2 Well 2 7-6-13(5),1.3564356435643565,101.0,1.3041232820622177,0.9614339524692261,-0.052312361502138804
Column 2 Well 2 7-6-13(6),2.9615384615384617,130.0,7.22643889287281,2.4400962495414684,4.264900431334349
Column 2 Well 2 7-6-13(7),1.322314049586777,121.0,2.1737415896643943,1.6438920771836982,0.8514275400776175
Column 2 Well 2 7-6-13(8),3.233009708737864,103.0,3.87084143701912,1.1972872913302384,0.637831728281256
Column 2 Well 2 7-6-13(9),0.0,0.0,0.0,0.0,0.0
Column 2 Well 4 7-6-13,3.174757281553398,103.0,5.3296703296703365,1.6787646604160387,2.1549130481169385
Column 2 Well 4 7-6-13(2),4.245901639344262,122.0,5.933277913917082,1.3974129449766102,1.68737627457282
Column 2 Well 4 7-6-14(3),2.4172185430463577,151.0,3.2618422196731895,1.3494196580017852,0.8446236766268318
Column 2 Well 4 7-6-14(4),0.918918918918919,111.0,1.353120202315838,1.472513161343706,0.434201283396919
Column 2 Well 4 7-6-14(5),1.9096045197740112,177.0,2.757575757576579,1.4440559440563743,0.8479712378025677
Column 3 Well 1 7-6-13,3.9464285714285716,112.0,6.265009844901163,1.5875138068527834,2.3185812734725917
Column 3 Well 1 7-6-13(2),3.8181818181818183,198.0,5.497036251336071,1.4396999705880185,1.6788544331542523
Column 3 Well 1 7-6-13(3),3.162280701754386,228.0,4.842816157815694,1.531431461833534,1.6805354560613077
Column 3 Well 1 7-6-13(4),2.6283185840707963,113.0,3.8996415770646347,1.4837020141693729,1.2713229929938383
Column 3 Well 1 7-6-13(5),2.3,100.0,2.976190486031642,1.2939958634920183,0.6761904860316421
Column 3 Well 1 7-6-13(6),3.588957055214724,163.0,5.113794625865846,1.4248692718224494,1.5248375706511217
Column 3 Well 2 7-6-13,2.2371794871794872,156.0,3.231527094528965,1.4444648330845802,0.9943476073494777
Column 3 Well 2 7-6-13(10),3.56140350877193,114.0,5.742342807038314,1.6123819704491817,2.1809392982663844
Column 3 Well 2 7-6-13(2),2.1884057971014492,138.0,2.8980263158109856,1.3242636807348211,0.7096205187095364
Column 3 Well 2 7-6-13(3),1.9621212121212122,132.0,2.138898529808623,1.0900950036090278,0.17677731768741078
Column 3 Well 2 7-6-13(4),3.8633093525179856,139.0,5.943548918264803,1.5384605207426585,2.080239565746817
Column 3 Well 2 7-6-13(5),3.032258064516129,124.0,5.687500000019245,1.875664893623368,2.655241935503116
Column 3 Well 2 7-6-13(6),1.411214953271028,107.0,2.474836096830888,1.7536918037146028,1.06362114355986
Column 3 Well 2 7-6-13(7),3.5251798561151078,139.0,4.682802988411931,1.32838697018216,1.157623132296823
Column 3 Well 2 7-6-13(8),3.5522388059701493,134.0,5.344086021509863,1.504427577483869,1.7918472155397138
Column 3 Well 2 7-6-13(9),3.960674157303371,178.0,6.191925069916419,1.5633512942484007,2.231250912613048
Column 3 Well 4 7-6-14,6.242603550295858,169.0,8.893382354050798,1.4246271259095593,2.6507788037549407
Column 3 Well 4 7-6-14(2),3.2788461538461537,104.0,5.589937407576889,1.7048489454193443,2.311091253730735
Column 3 Well 4 7-6-14(3),4.146788990825688,109.0,5.982570806100224,1.442699597046293,1.8357818152745358
Column 3 Well 4 7-6-14(5),1.3461538461538463,104.0,1.598415776196744,1.1873945766032954,0.25226193004289765
