Overview
Filename,Sprout Count,Critical Value,Total Branch Count,Branching Factor,Auxiliary Branch Count,Average Troc
8-7-13_10.18_A3_1,0.6043478260869565,230.0,0.7624105919066604,1.2615427060326037,0.1580627658197039,230.0
8-7-13_10.18_A3_2,1.9961538461538462,260.0,3.790984297888311,1.8991443496164948,1.7948304517344646,319.6666666666667
8-7-13_10.18_A3_3,1.3345323741007193,278.0,1.933370229358743,1.448724861891457,0.5988378552580236,278.0
8-7-13_10.18_A3_4,1.5265151515151516,264.0,5.086345138700087,3.3319978079821904,3.5598299871849353,288.0
8-7-13_vehiclectrl_1,3.8898678414096914,227.0,6.453427652535034,1.6590351949325626,2.563559811125342,353.6666666666667
8-7-13_vehiclectrl_2,2.850609756097561,328.0,5.796272636354745,2.0333448392773863,2.945662880257184,376.5
8-7-13_vehiclectrl_3,2.34468085106383,235.0,5.0516826643673785,2.154528904040533,2.7070018133035485,257.0
8-7-13_vehiclectrl_4,3.588235294117647,221.0,5.398238819959932,1.504427212119981,1.8100035258422849,300.5
9-18-13_10.18_A3_1,2.2569169960474307,253.0,3.4183048633363837,1.5145904210579775,1.161387867288953,321.0
9-18-13_10.18_A3_2,0.8539130434782609,575.0,1.7815551884614007,2.086342634145225,0.9276421449831398,575.0
9-18-13_10.18_A3_3,1.5511811023622046,254.0,3.574288576967872,2.3042367983498466,2.023107474605667,273.0
9-18-13_10.18_A3_4,3.490566037735849,212.0,4.953059579444683,1.4189846362733416,1.462493541708834,320.75
9-18-13_10.18_A3_5,1.3717948717948718,234.0,3.2340815815656296,2.3575547977768143,1.8622867097707578,252.0
9-18-13_10.18_A3_6,1.8796992481203008,133.0,5.7351888236958555,3.051120454206195,3.8554895755755547,144.5
9-18-13_10.18_A3_7,2.1900452488687785,221.0,3.8667581247316947,1.7656064991026952,1.6767128758629162,318.3333333333333
9-18-13_10.18_A3_8,0.5787234042553191,235.0,1.0001692959129445,1.7282337098495733,0.42144589165762536,235.0
9-18-13_vehiclectrl_1,2.384,250.0,3.668741654646358,1.538901700774479,1.284741654646358,313.3333333333333
9-18-13_vehiclectrl_2,6.5482625482625485,259.0,10.360037569030137,1.5821047938554278,3.8117750207675885,354.875
9-18-13_vehiclectrl_3,3.5491803278688523,244.0,7.009323435702414,1.9749133005905186,3.4601431078335616,315.57142857142856
9-18-13_vehiclectrl_4,1.6713615023474178,213.0,3.82196778373969,2.286739151507174,2.150606281392272,266.6666666666667
9-18-13_vehiclectrl_5,1.6466165413533835,399.0,2.729793450312417,1.6578197666280887,1.0831769089590335,421.5
9-18-13_vehiclectrl_6,8.417777777777777,450.0,15.146424604060815,1.799337664157172,6.728646826283038,494.6
9-5-13_10.18_A3_1,1.251121076233184,223.0,2.6195594942395894,2.0937697749656934,1.3684384180064055,236.5
9-5-13_10.18_A3_2,0.932806324110672,253.0,5.277391551543398,5.657542637883388,4.344585227432726,275.4
9-5-13_10.18_A3_3,2.173076923076923,260.0,5.29079175459173,2.4347006304315926,3.117714831514807,283.2
9-5-13_10.18_A3_4,1.3,260.0,2.6346385951188043,2.0266450731683108,1.3346385951188042,274.0
9-5-13_vehiclectrl_1,0.5435897435897435,195.0,1.0010156950178413,1.8414911370611233,0.4574259514280977,195.0
9-5-13_vehiclectrl_2,2.0454545454545454,418.0,6.862452437724342,3.3549767473319005,4.8169978922697965,418.0
9-5-13_vehiclectrl_3,1.3906976744186046,215.0,2.8001820608137398,2.0135088397155654,1.4094843863951352,227.5
