Overview,,,,,,
Filename,Sprout Count,Critical Value,Total Branch Count,Branching Factor,Auxiliary Branch Count,Average Troc
5_13_13_9.18_C2_2,5.6477272727,264,9.7919213789,1.7337808478,4.1441941061,303.3333333333
C2 Averages,7.9979142693,211,13.5557556002,1.7037391064,5.5578413309,299.4901960784
,,,,,,
5_13_13_9.18_C3_1,9.2801204819,332,13.1269456565,1.4145231931,3.8468251745,404
5_13_13_9.18_C3_3,5.3544776119,268,10.4587269941,1.9532674804,5.1042493822,320.5
C3 Averages,7.3172990469,300,11.7928363253,1.6838953368,4.4755372784,362.25
,,,,,,
5_13_13_9.18_C4_1,10.9090909091,209,19.9169560528,1.8257209715,9.0078651437,293.0526315789
5_13_13_9.18_C4_2,8.3137829912,341,12.2762273795,1.4766114767,3.9624443883,373.125
5_13_13_9.18_C4_3,8.4728033473,239,18.4001065323,2.1716668944,9.9273031851,306.5555555556
C4 Averages,9.2318924159,263,16.8644299882,1.8246664475,7.6325375724,324.2443957115
,,,,,,
5_13_13_9.18_C5_1,9.0700934579,214,17.1047207304,1.8858373191,8.0346272725,299.4166666667
5_13_13_9.18_C5_3,7.2131979695,197,19.9008226716,2.7589458595,12.6876247021,247.5
C5 Averages,8.1416457137,205.5,18.502771701,2.3223915893,10.3611259873,273.4583333333
,,,,,,
5_23_12_xx.x_DMSO1_2,7.1422413793,232,13.9479548622,1.9528820326,6.8057134829,288.75
5_23_12_xx.x_DMSO1_3,3.8921933086,269,7.942607989,2.0406509542,4.0504146804,294.1666666667
DMSO1 Averages,5.5172173439,250.5,10.9452814256,1.9967664934,5.4280640816,291.4583333333
