Overview
Filename,Sprout Count,Critical Value,Total Branch Count,Branching Factor,Auxiliary Branch Count
8-7-13_10.18_A3_1,0.26521739130434785,230.0,0.42599237017292285,1.6062007399962663,0.160774978868575
8-7-13_10.18_A3_2,1.2153846153846153,260.0,1.0996168582381245,0.9047480479174442,-0.11576775714649079
8-7-13_10.18_A3_3,1.4820512820512821,195.0,1.3766768225883836,0.9288995861755529,-0.10537445946289847
8-7-13_10.18_A3_4,0.19140625,256.0,0.3083334557672058,1.6108849933960139,0.11692720576720578
8-7-13_vehiclectrl_1,0.19140625,256.0,0.3083334557672058,1.6108849933960139,0.11692720576720578
8-7-13_vehiclectrl_2,0.19140625,256.0,0.3083334557672058,1.6108849933960139,0.11692720576720578
8-7-13_vehiclectrl_3,0.19140625,256.0,0.3083334557672058,1.6108849933960139,0.11692720576720578
8-7-13_vehiclectrl_4,0.19140625,256.0,0.3083334557672058,1.6108849933960139,0.11692720576720578
9-18-13_10.18_A3_1,0.8472222222222222,216.0,0.43911222829530805,0.5182964006108554,-0.40810999392691416
9-18-13_10.18_A3_2,0.6935483870967742,248.0,0.6709835077354165,0.96746459254874,-0.02256487936135776
9-18-13_10.18_A3_3,0.08745247148288973,263.0,0.04972202546558631,0.5685605520630087,-0.03773044601730342
9-18-13_10.18_A3_4,1.4183673469387754,294.0,1.5136386057667046,1.067169664497389,0.0952712588279292
9-18-13_10.18_A3_5,0.3723849372384937,239.0,1.3743890519034148,3.69077509443726,1.002004114664921
9-18-13_10.18_A3_6,0.3723849372384937,239.0,1.3743890519034148,3.69077509443726,1.002004114664921
9-18-13_10.18_A3_7,0.3723849372384937,239.0,1.3743890519034148,3.69077509443726,1.002004114664921
9-18-13_10.18_A3_8,0.12307692307692308,260.0,0.1462542408428079,1.188315706847814,0.023177317765884803
9-18-13_vehiclectrl_1,0.12307692307692308,260.0,0.1462542408428079,1.188315706847814,0.023177317765884803
9-18-13_vehiclectrl_2,0.12307692307692308,260.0,0.1462542408428079,1.188315706847814,0.023177317765884803
9-18-13_vehiclectrl_3,2.6693548387096775,248.0,4.076923076923093,1.5273065303276843,1.4075682382134151
9-18-13_vehiclectrl_4,0.234375,256.0,0.5139844281244678,2.1930002266643958,0.27960942812446776
9-18-13_vehiclectrl_5,0.0,0.0,0.0,0.0,0.0
9-18-13_vehiclectrl_6,5.20817843866171,269.0,11.264643212269313,2.162875820200175,6.056464773607603
9-5-13_10.18_A3_1,5.20817843866171,269.0,11.264643212269313,2.162875820200175,6.056464773607603
9-5-13_10.18_A3_2,0.045454545454545456,242.0,0.35551764165785144,7.821388116472732,0.31006309620330597
9-5-13_10.18_A3_3,0.0,0.0,0.0,0.0,0.0
9-5-13_10.18_A3_4,0.26222222222222225,225.0,0.2064783927204079,0.7874175993574877,-0.055743829501814335
9-5-13_vehiclectrl_1,0.26222222222222225,225.0,0.2064783927204079,0.7874175993574877,-0.055743829501814335
9-5-13_vehiclectrl_2,0.26222222222222225,225.0,0.2064783927204079,0.7874175993574877,-0.055743829501814335
9-5-13_vehiclectrl_3,0.3177570093457944,214.0,0.11171075001294717,0.3515603015113338,-0.2060462593328472
